fecha;autor;tweet
2021-02-18 23:59:30;patrichz;@danieljadue Con esto se registra sismo grado 7 en las oficinas del diario La Tercera
2021-02-18 23:58:23;PcLasCondes;"@Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Es brutal...
Vacunando primero a j… https://t.co/SV9CW2ucXw"
2021-02-18 23:57:37;crubiocaceres;@danieljadue Y vamos llevando agua al molino político!!!
2021-02-18 23:56:44;CairnTe;@Cach13Chile @consentidachile @lionalvawest @007Artemisa @danieljadue Yo no hablo de gobiernos democráticos o no de… https://t.co/gdt1Qxz8Ju
2021-02-18 23:54:59;Carlos33704777;@danieljadue Salvaron a Chile de ustedes comunistas de mierda
2021-02-18 23:53:40;scastrosaravia;@danieljadue Aquí termina todo el escándalo que hizo la derecha por el famoso Avifavir, ahora tendrán que inventar otra cosa
2021-02-18 23:52:55;juampyro;"""aplicación del protocolo"" ... https://t.co/06UinwJqrY https://t.co/MtwTSdU0cn"
2021-02-18 23:51:49;fachininja;Me imagino que para pacientes con influenza, que es la enfermedad para la cual el #Avifavir fue diseñada en Rusia. https://t.co/iTp0AfTmX7
2021-02-18 23:51:34;valewerner;@danieljadue Tanto wn apoyando a este tipo 🤦‍♀️
2021-02-18 23:50:36;HeliaOrdenesCas;@PrensaPCdeChile @danieljadue @PCdeChile @latercera @cbofillr  @evelynmatthei
2021-02-18 23:50:05;canoso101951;@guidogirardi voto por @danieljadue y estamos listos
2021-02-18 23:49:15;NathalySeplved3;@yo_elmanuel @AChifarp @danieljadue @DafneConchaF @TalladoyMemoria @clauampueroc @BSepulvedaHales @valiuskalira Espectacular!!!
2021-02-18 23:48:50;InsVillavicenc2;@danieljadue Asi se hace #PresidenteJadue
2021-02-18 23:48:21;elpi110973;@PCdeChile , @danieljadue , @ColegioProfes ..COMO PARA EMPEZAR..!!! https://t.co/qd87P2m6X4
2021-02-18 23:47:24;AmigoPerseo;@benxis @mararyluzcueva @danieljadue @Latrodectus0 🤗 Aylwin
2021-02-18 23:47:06;ProfesoraConst1;@Chile_Alerta @Alienhohner @danieljadue Se han beneficiado durante décadas gracias a su posición amarillista
2021-02-18 23:46:46;pipenovoat;@danieljadue Payaso ...
2021-02-18 23:46:25;AmigoPerseo;@benxis @mararyluzcueva @danieljadue @Latrodectus0 😬 https://t.co/hXKRuoQWpb
2021-02-18 23:46:16;lilaromana;@patonga6 @hualane @mararyluzcueva @danieljadue @Latrodectus0 Yaaa, donde dice eso???
2021-02-18 23:46:10;luiseduardo3250;Chile necesita un presidente comunista ya basta de querer parecernos a países  primer mundo cuba y Venezuela modelo… https://t.co/uvbWZZLABm
2021-02-18 23:45:43;elpi110973;"@PCdeChile ...@danieljadue ..

BUENA LA RECETA..!!!! https://t.co/y1whuC34vA"
2021-02-18 23:45:34;karleguiluz;@_hijademinero @danieljadue Que clase de ceguera ideológica es esta?
2021-02-18 23:45:29;isacar2791;@danieljadue Que buena iniciativa para los michis y cachupines recoletanos👏👏👏👏
2021-02-18 23:45:13;HiginiodeCea;@danieljadue Grande mi presidente
