fecha;autor;tweet
2021-02-17 23:59:00;mpereirasoto;@carreragonzalo @melnicksergio O sea el programa indica quebel alcalde dara instrucciones a las policias?
2021-02-17 23:47:47;fquiltro;"@mmccarquitecta @cardenaldo Si
Me llamó la atención lo mismo
Ojalá que @carreragonzalo nos aclare"
2021-02-17 23:32:08;SIMPSONELECTRON;"@TarquinoPaspala LA VERDAD DE LOS ATAQUES EN LA ARAUCANIA Y APRA INCULPA A MAPUCHES...???
TODO MUY SOSPECHOSO.… https://t.co/hEkE4f9xjA"
2021-02-17 23:31:36;RosaZun05395672;@carreragonzalo @melnicksergio Y el Prostituto de Lavin que hace?. Ah, de veras anda en la TV, haciendo farándula para los w.
2021-02-17 23:15:21;fede02319211;@carreragonzalo Con el payaso del alcalde que tienen, que esperan...y ahora que el tonto de las vacunas que cree qu… https://t.co/EzjhmfQcFT
2021-02-17 23:09:58;GrandmotherSos;@carreragonzalo A ud. hacen varios dias le envié una solicitud por aca x twitter... No responde un twitt... Respond… https://t.co/W7Z6sXSRT3
2021-02-17 23:04:46;cfeliperodrig2;@carreragonzalo creo que ya se quienes tienen el carro https://t.co/o7AvVJnk5a
2021-02-17 23:04:43;FerroOsorio;@carreragonzalo @melnicksergio Éxito Gonzalo
2021-02-17 22:48:30;rechazo_241025;@carreragonzalo @melnicksergio Tienes mi voto y el de muchos de mi familia, solo por ser un #Republicano y #Patriota  👍👍👍👍👍🇨🇱🇨🇱🇨🇱🇨🇱
2021-02-17 22:24:37;ValeAriasS7;@bcastil32667233 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/kDeTzf7JqD
2021-02-17 22:00:46;victor1173;@Florencia_Pink @virario3 @LavinJoaquin @riveros_moran @carreragonzalo estas cosas no pueden quedar sin solución...… https://t.co/BSg444yTFF
2021-02-17 21:45:02;planeador17;Debe ser familiar de @carreragonzalo ! https://t.co/YzFZbzvUYC
2021-02-17 21:28:29;Carolin37866074;@pepe_auth Jajajajajaja @pepe_auth la lista de @joseantoniokast  tiene el piso duro del 22% mas los arrepentidos. A… https://t.co/Xsf4s3vd4y
2021-02-17 21:11:08;FerrerMontero;"@carreragonzalo 
Mira que barbaridad ha ocurrido en tu comuna 
¿Existe posibilidad de ayudar? https://t.co/ZicWFDMY6t"
2021-02-17 20:58:16;lilucenicienta;@carreragonzalo @melnicksergio 👏🏻👏🏻👏🏻👏🏻👏🏻💪🏻💪🏻💪🏻💪🏻
2021-02-17 20:34:16;jvonbra;@catralapulido @carreragonzalo Asumo que pidió las respectivas disculpas a Carabineros. Ya que en el Partido Republ… https://t.co/OI7XUp1d1E
2021-02-17 20:17:49;jusevar25;@ClaudioFranzua @PordenoneBudoia @FafuC @Carmen_E_muller @entransito7 @Lafacha8 @CesarAlcntara10 @AtienzaCortes… https://t.co/kyosWap7ha
2021-02-17 20:17:28;Cheroky05121166;@catralapulido @carreragonzalo Porque la cultura está en todo hiciste mierda a Mon laferte en las indomables por la… https://t.co/NtoosTD5cH
2021-02-17 20:15:01;PEPEVIAL;"#ENSEÑANZAPARTEDELACASA
@GobiernodeChile @sebastianpinera @carreragonzalo 
@GobiernodeChile @joseantoniokast… https://t.co/j0be0nLRQT"
2021-02-17 20:12:58;siegfriedalfa22;@catralapulido @carreragonzalo Difícil que hule cambie para bien con gente así en la política, que atroz gaia
2021-02-17 19:56:11;ChusmaSomos;@carreragonzalo @HuidobroKamila respeto para seguir robando y asesinando a su propio pueblo🤦‍♀️
2021-02-17 19:50:47;mauri_dl_futuro;@catralapulido @carreragonzalo La cultura de la transfobia, del machismo, de la homofobia, de los valores de la vio… https://t.co/j3aPFQifD2
2021-02-17 19:49:45;mjgonzap;@carreragonzalo Vas a intervenir el poder judicial desde tu posición de alcalde entonces??? Estás prometiendo cosas… https://t.co/2f5vpFD2CF
2021-02-17 19:45:17;alberto84139028;@gustavitalicio @IavinJoaquin @carreragonzalo @PLRchile @evopoli @RNchile @udipopular @joseantoniokas @diputadosudi… https://t.co/vwt0xjoVAL
2021-02-17 19:39:36;jaran_13;@carreragonzalo Jamás vas a poder enfrentar el flagelo del narcotráfico en una comuna determinada  si no tienes una… https://t.co/HfLWnzXew5
2021-02-17 19:36:48;gustavitalicio;@alberto84139028 @IavinJoaquin @carreragonzalo @PLRchile @evopoli @RNchile @udipopular @joseantoniokas… https://t.co/bewy9MY3GD
2021-02-17 19:18:51;PorChile4;@carreragonzalo Me acaban de llamar y sale una encuesta telefónica grabada preguntando por quién votaría en Las Con… https://t.co/CRHSms512g
2021-02-17 19:18:12;marcelo_k;"@sergioulloa1 Existe alguna duda del resultado de este proceso en manos de la izquierda?
@melnicksergio… https://t.co/YqFP6WWpOE"
2021-02-17 19:17:30;Evinnkar;@Sub_Alma @catralapulido @carreragonzalo Ni que hubiera actuado al lado de Jack Nicholson xD puras plastas qls de izquierda eran :P
2021-02-17 19:15:17;Evinnkar;@catralapulido @carreragonzalo Instrúyete y después postúlate a diputada o senadora. Cometiste un error en el pasad… https://t.co/ufszQlmBA3
2021-02-17 19:08:22;Pulgarso;@Onfray @catralapulido @carreragonzalo https://t.co/tNZL9uHVoe
2021-02-17 18:53:27;RuberMichelle;@carreragonzalo Como le cambió el discurso al Sr. Lavin, cada día mas progre. Identificar las causas esta bien, PER… https://t.co/g0IzWc1VuX
2021-02-17 18:47:37;alvarocastrogom;@catralapulido @carreragonzalo Mmmm no gracias
2021-02-17 18:46:39;marisepulved;@carreragonzalo 🤣🤣🤣
2021-02-17 18:46:37;Sub_Alma;"@catralapulido @carreragonzalo JAJAJAJAJAJAJAJA
está caca se cree actriz porque le dieron uno que otro rol en las t… https://t.co/pdPuswTYnA"
2021-02-17 18:42:47;LpontD;@MaTeres72775470 @jusevar25 @FafuC @WenaChile @ClaudioFranzua @PordenoneBudoia @Carmen_E_muller @entransito7… https://t.co/EvLtxS0cti
2021-02-17 18:41:50;MaTeres72775470;@LpontD @jusevar25 @FafuC @WenaChile @ClaudioFranzua @PordenoneBudoia @Carmen_E_muller @entransito7 @Lafacha8… https://t.co/0TIUu91vXu
2021-02-17 18:39:28;carlostabali;"@catralapulido @carreragonzalo Y quieres ser consejal...para aportar cultura??? 🤣🤣🤣

La única cultura que conoces e… https://t.co/D4wOapp24K"
2021-02-17 18:38:53;Romer1Isabel;@carreragonzalo En todas partes hay jóvenes fumando marihuana! En la Playa , en la calle, en plazas. Sacan su papel… https://t.co/bYGlmODRyh
2021-02-17 18:30:58;Dosocmaria;@carreragonzalo No se ve nada
2021-02-17 18:26:40;presidentewea;"@catralapulido @carreragonzalo Claramente el diseño gráfico es una herramienta del marxismo cultural.
LOS PATRIOTAS… https://t.co/7tEGUUA2ee"
2021-02-17 18:26:12;jagaggero;@catralapulido @milton10086672 @carreragonzalo La aprobó el general amigo que tiene?
2021-02-17 18:25:45;nc_nacor;@cbofillr @carreragonzalo Esa es actitud!
2021-02-17 18:22:25;LorennaAran;@carreragonzalo @melnicksergio Hoy llamaron por teléfono para una encuesta ¿ Si las elecciones de Alcalde en Las Co… https://t.co/wcwuCGfrco
