fecha;autor;tweet
2021-02-18 23:57:41;FelipeM33555633;@block_up_up @PLRchile @joseantoniokast Mano de obra barata para los Chinos
2021-02-18 23:57:18;FelipeM33555633;@block_up_up @PLRchile @joseantoniokast Es lo mismo que pienso
2021-02-18 23:56:33;NubleOpina;Linda foto la que el candidato de la extrema derecha de @joseantoniokast , Manuel Reyes Pinochet , sube a redes soc… https://t.co/fi2exSXctA
2021-02-18 23:52:46;realFranciscoDM;@grmankrizo @ONomuty @LaRedTV @joseantoniokast @mentiraslared @Girealaderecha @CostaPardaa @RoqueSagrado Has vistos… https://t.co/3SDb5DJsSD
2021-02-18 23:51:43;CesarAlcntara10;@EinsteinNewton8 @luthierano @Lafacha8 @PordenoneBudoia @FafuC @jusevar25 @AtienzaCortes @MaTeres72775470… https://t.co/BuFXeWUxqh
2021-02-18 23:50:32;CesarAlcntara10;@jusevar25 @ClaudioFranzua @gonzalez_ulrich @LpontD @Lafacha8 @Margiopaz @Carmen_E_muller @PordenoneBudoia… https://t.co/Wf2jRec3wW
2021-02-18 23:48:39;ricsepda;@siguedaniela @joseantoniokast 😀😀😀😀😀
2021-02-18 23:47:26;zumaran_ana;@joseantoniokast Me parece justo que caigan todos los responsables incluidos funcionarios de carabineros merecen cá… https://t.co/OrT7ob25FW
2021-02-18 23:47:09;donpablor_r;@EquipoOrrego_14 @joseantoniokast @PLRchile Profesor??
2021-02-18 23:44:12;FernandoSenior3;@joseantoniokast Se están anticipando y complotando ya para armar un caso de fraude en caso que pierdan estos cabro… https://t.co/eG9kGWJDIk
2021-02-18 23:44:04;MarioGROpina;@joseantoniokast
2021-02-18 23:43:47;Francis74953801;@FafuC @anamesiac @kathymoragas @orlando_veas @gloria_patriota @ClaudioFranzua @entransito7 @Francis25830521… https://t.co/NsU1Vi1ADz
2021-02-18 23:42:10;MarioGROpina;"@joseantoniokast José Antonio,
Usted conoce el sector donde está perdido el pequeño Tomás, el LEBU, por favor colab… https://t.co/UgggXuxpeb"
2021-02-18 23:42:04;zumaran_ana;@joseantoniokast Carabineros también se ha equivocado en sus  protocolos ejemplos hay muchos, joven que tiraron des… https://t.co/N8FvCFTxLV
2021-02-18 23:41:13;Cvasq011;@DelcastillomAna @weichafe731 @VivaChileTV @joseantoniokast Cuéntanos de que se trata el diplomado y que piensas de… https://t.co/uSrdkscxiG
2021-02-18 23:41:13;NJavierBustos7;@DelcastillomAna @weichafe731 @VivaChileTV @joseantoniokast no es lo que se entiende en su eslogan, podría ser mas… https://t.co/vJBWtgPcjy
2021-02-18 23:39:21;AloneFantasma;@PJudicialChile @CongresoChile , @LaRedTV , @TVN @Mega @canal13 @Armada_Chile @PDI_CHILE @Ejercito_Chile… https://t.co/X0ypwi9lmf
2021-02-18 23:38:16;Gonzacastillop;@covacich_m @evopoli @ignaciobriones_ @felipekast @BancadaEvopoli @andresmolinam @kantor_pauline @Panchoundurraga… https://t.co/lDKcYkcfwz
2021-02-18 23:37:43;THENORTHSHORE4;@joseantoniokast @JuanAriztiaC conversación vacía, superficial, bajito el nivel intelectual de ambos
2021-02-18 23:36:44;_coparzo_;@icebig95 @elcapitalchile @abogadomeza @joseantoniokast Jajajaja a mi igual me tiene bloqueado jajajajaj
2021-02-18 23:36:07;ClaudioFranzua;@lara_kethnia @MipatriaMiChile @PJudicialChile Tu eres de Venezuela. Del 100 % que emigra algun país el.90 %Son col… https://t.co/AoTQJQw1OR
2021-02-18 23:33:59;TemasTraduccion;@joseantoniokast Los europeos siempre son benignos con lo que no atañe a su territorio, pero ay, Dios mío, cuando l… https://t.co/vORt476l2A
2021-02-18 23:32:02;zumaran_ana;"@joseantoniokast José Antonio  hace tiempo que no  sabía de ud.  ......
Últimamente hace comentarios muy negativos,… https://t.co/dxzoqKdcDO"
2021-02-18 23:31:57;chileanenchile;@BotCorazonCelta @joseantoniokast @tere_marinovic @melnicksergio Pero si las AFP son privadas, por que re chuchas l… https://t.co/kSzA54arxi
2021-02-18 23:31:33;sagitariotalca;@Sr_Churchill @PaulD3D @joseantoniokast Ya no nexiste
2021-02-18 23:30:52;THENORTHSHORE4;@RojoEdwards @chilevision @PLRchile @joseantoniokast @a_republicana @i_republicanas rojo, no hilas mas de 3 frases… https://t.co/E4kGqICoGV
2021-02-18 23:30:26;eljusticia1979;@Sr_Churchill @PaulD3D @joseantoniokast https://t.co/Lu8zJGlN3o
2021-02-18 23:28:42;EinsteinNewton8;@luthierano @Lafacha8 @PordenoneBudoia @FafuC @CesarAlcntara10 @jusevar25 @AtienzaCortes @MaTeres72775470… https://t.co/enQgHamrL9
2021-02-18 23:24:10;valyta_e;@joseantoniokast @JuanAriztiaC Juan, le deseo mucho éxito. Lo sigo.
2021-02-18 23:24:06;YaDemocracia;@marcheporChile @FC033 @BotCorazonCelta @peyopeyo9 @joseantoniokast @tere_marinovic @melnicksergio He aqui otro eje… https://t.co/9gt3DeQYmh
2021-02-18 23:23:28;naguatatoyotol;@ClaudioFranzua @RodrigoDelgadoM @allamand @GobiernodeChile @jaimebellolio @HernanLarrainF @pdazan @DrEnriqueParis… https://t.co/RDiKWTJ4Cr
2021-02-18 23:20:51;EstherT94104214;@Sr_Churchill @PaulD3D @joseantoniokast Al parecer ya está cerrada su cuenta
2021-02-18 23:20:33;JoseValenzGonz;@Sr_Churchill @PaulD3D @joseantoniokast Borró la cuenta
2021-02-18 23:19:25;FRBToro;"@CRLDEMONIO @azulesojitos @joseantoniokast 
@DraMLCordero 
@PamJiles"
2021-02-18 23:18:29;ClaudioFranzua;@tere_marinovic .@Cami_FloresO .@joseantoniokast .@PepaHoffmann .@lucyanaah .@UrrutiaporChile .@ivanmoreirab .… https://t.co/xCam67Gb6y
