fecha;autor;tweet
2021-02-18 23:47:25;MatayaNatalia;@Marianapennab @tatipennab @Muni_LasCondes @LavinJoaquin Sii, ya vi q entendí mal😃
2021-02-18 23:47:25;Carrerina_;@JuliusMDiax @carreragonzalo @LavinJoaquin Apoyo la moción
2021-02-18 23:47:04;PafitaYanez;@PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/UTHcIeXiaF
2021-02-18 23:44:50;CmayerCrismayer;@LavinJoaquin @LC_seguridad @jbenitezgibbons Nunca llegaron
2021-02-18 23:42:26;THENORTHSHORE4;@sandonaegui @melnicksergio @cristian_arayal @CarlosZarateV @maylwino @pablovidalrojas @LavinJoaquin este weon de a… https://t.co/RbN5yjQrTP
2021-02-18 23:42:01;venus_2121;@PafitaYanez @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/0MFlQeQYi2
2021-02-18 23:41:29;venus_2121;@PafitaYanez @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/F4BtmCnAkF
2021-02-18 23:40:42;PafitaYanez;@AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/HNxe6oXkGm
2021-02-18 23:39:42;PafitaYanez;@AWEONITA @venus_2121 @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/AQYcsuu9mP
2021-02-18 23:36:15;rqiemm_;@LavinJoaquin salia hace dias en Mega diciendo que no se pueden borrar los murales autorizados, y hoy es la municip… https://t.co/aXCJfgsulL
2021-02-18 23:30:13;Beatlebun;@Jaquimaqui @ValeAriasS7 @samu_nh @LavinJoaquin @JFCuevasVila ni siquiera le falté el respeto
2021-02-18 23:24:08;Jaquimaqui;@ValeAriasS7 @Beatlebun @samu_nh @LavinJoaquin @JFCuevasVila No,es que hay cosas que me superan no más.☺️☺️ Saludos para ti también.
2021-02-18 23:21:43;simonaxm;@mavrscz @karenmoure @LavinJoaquin @EnelClientesCL Los caradura ya se las llevaron para la casa y hoy son multibillonarios.
2021-02-18 23:20:11;Beatlebun;@Jaquimaqui @ValeAriasS7 @samu_nh @LavinJoaquin @JFCuevasVila pero si ni la he insultado
2021-02-18 23:19:48;FloMa292;"@hernan_sr @LavinJoaquin está vacunado a la ""farándula"" 
Esta es la desigualdad que nos tiene podrido a los chileno… https://t.co/wQDYpi2wjl"
2021-02-18 23:17:04;isaiasurzuaf;@barbarabricenok lamentable lo que publicas,pero es prioridades políticas pues el segundo grupo de riesgo somos has… https://t.co/BCsqfwLCZL
2021-02-18 23:16:45;AstridPenna;@Muni_LasCondes por qué hay ratones en un lugar tan residencial !!! La basura de los miles de edificios que rodean… https://t.co/1N9rnDDPwI
2021-02-18 23:16:27;Jaquimaqui;@Beatlebun @ValeAriasS7 @samu_nh @LavinJoaquin @JFCuevasVila Te pasaste, como se te ocurre hablarle así a alguien?H… https://t.co/vRAxyQQc4V
2021-02-18 23:14:41;DisidentesChile;@AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/EgvFWNFb4C
